scheme,b,h,lambda,T,max_error,max_abs_solution,status
BTCS,3.0,0.01,0.9,1.5,0.17178660462453477,0.828213395375459,stable-looking
CrankNicolson,3.0,0.01,0.9,1.5,0.04656647606691333,0.9587507318088373,stable-looking
FTFS,3.0,0.01,1.0,1.5,2.5708589760467116e+68,2.5708589760467116e+68,unstable-looking
FTBS,3.0,0.01,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
FTCS,3.0,0.01,1.0,1.5,5.474097763696584e+19,5.474097763696584e+19,unstable-looking
CTCS,3.0,0.01,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
LaxFriedrichs,3.0,0.01,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
LaxWendroff,3.0,0.01,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
BeamWarming,3.0,0.01,1.0,1.5,2.1094237467877974e-14,1.0000000000000004,stable-looking
BTFS,3.0,0.01,1.0,1.5,nan,nan,failed
BTBS,3.0,0.01,1.0,1.5,0.24616508726103392,0.7539349125336741,stable-looking
BTCS,3.0,0.01,1.0,1.5,0.18027820540118977,0.8198217945987847,stable-looking
CrankNicolson,3.0,0.01,1.0,1.5,0.0494950632654686,0.9579858419621302,stable-looking
FTFS,3.0,0.01,1.01,1.5,2.309236489017273e+68,2.309236489017273e+68,unstable-looking
FTBS,3.0,0.01,1.01,1.5,0.08630564419918785,1.029871519999997,stable-looking
FTCS,3.0,0.01,1.01,1.5,8.027786487672866e+19,8.027786487672866e+19,unstable-looking
CTCS,3.0,0.01,1.01,1.5,343266.14396744996,343266.14396744996,unstable-looking
LaxFriedrichs,3.0,0.01,1.01,1.5,0.04962251999998646,1.0297225199999926,stable-looking
LaxWendroff,3.0,0.01,1.01,1.5,0.6312871332180441,1.516374403276988,stable-looking
BeamWarming,3.0,0.01,1.01,1.5,0.014974577622405172,0.9941174039938421,stable-looking
BTFS,3.0,0.01,1.01,1.5,nan,nan,failed
BTBS,3.0,0.01,1.01,1.5,0.24691725556731425,0.7530827444326795,stable-looking
BTCS,3.0,0.01,1.01,1.5,0.18118501018656485,0.8188149898134289,stable-looking
CrankNicolson,3.0,0.01,1.01,1.5,0.046675366817983344,0.9576159184684904,stable-looking
FTFS,3.0,0.01,1.05,1.5,1.303334386588397e+67,1.303334386588397e+67,unstable-looking
FTBS,3.0,0.01,1.05,1.5,1392.3366628453432,1393.0935628453433,unstable-looking
FTCS,3.0,0.01,1.05,1.5,1.3733200057942437e+20,1.3733200057942437e+20,unstable-looking
CTCS,3.0,0.01,1.05,1.5,1.3375177854135956e+16,1.3375177854135956e+16,unstable-looking
LaxFriedrichs,3.0,0.01,1.05,1.5,5.119182603010854,5.29979182179539,unstable-looking
LaxWendroff,3.0,0.01,1.05,1.5,326448212.8199713,326448213.3824713,unstable-looking
BeamWarming,3.0,0.01,1.05,1.5,0.013931644722031788,0.986068355277962,stable-looking
BTFS,3.0,0.01,1.05,1.5,nan,nan,failed
BTBS,3.0,0.01,1.05,1.5,0.24888664894861656,0.7511218603171476,stable-looking
BTCS,3.0,0.01,1.05,1.5,0.184342351088852,0.8156576489111418,stable-looking
CrankNicolson,3.0,0.01,1.05,1.5,0.04907136229699138,0.9575320051037647,stable-looking
